plot,tree no.,species,DBH1979,Cnpy1979,rem1979,DBH1983,Cnpy1983,rem1983,DBH1989,Cnpy1989,rem1989,DBH1994,Cnpy1994,rem1994,DBH1999,Cnpy1999,rem1999,DBH2009,Cnpy2009,rem2009
A0,89,40,16.7,2,0,17.2,2,0,17.8,2,0,18.2,2,0,18.7,2,0,20,2,0
A0,90,29,4.9,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,648,78,0,0,0,0,0,0,0,0,0,1.2,4,1,1.9,4,1,2.2,4,1
A0,91,79,6.1,4,0,6.5,4,0,6.9,4,0,7.2,4,0,8.2,4,0,9.2,4,0
A0,92,76,2.4,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,93,79,3.4,4,1,3.5,4,0,3.5,4,0,0,0,9,0,0,0,0,0,0
A0,94,79,3.3,4,0,3.4,4,8,3.5,4,1,3.7,4,1,4.1,4,1,4.4,4,1
A0,95,76,4.4,4,0,4.7,4,0,5.1,4,1,5.6,4,0,6.7,4,0,8.2,4,0
A0,96,66,26.7,2,7,28.7,2,0,30,2,1,31.6,2,1,32.4,2,1,35.6,2,1
A0,97,76,3.9,4,1,4.1,4,8,4.2,4,1,0,0,9,0,0,0,0,0,0
A0,98,79,6.5,4,0,7,4,0,7.2,4,0,0,0,9,0,0,0,0,0,0
A0,99,76,3,4,812,3,4,2,0,0,9,0,0,0,0,0,0,0,0,0
A0,777,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4,0
A0,698,78,0,0,0,0,0,0,0,0,0,0,0,0,1.6,4,0,0,0,9
A0,699,78,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0,0,0,9
A0,100,66,17.6,2,0,18.7,2,0,19.9,2,0,21,2,3,21.4,3,3,0,0,9
A0,101,79,5,4,8,5.2,4,8,5.4,4,8,5.6,4,0,6.1,4,0,7.3,4,0
A0,102,76,1.1,4,8,1.1,4,8,1.1,4,28,1.1,4,21,1.3,4,12,0,0,9
A0,103,40,15.1,2,0,15.6,3,0,16.1,2,0,16.5,3,0,17.3,3,0,18.8,2,0
A0,700,78,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1.6,4,0
A0,778,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,4,2
A0,104,79,4.5,4,1,4.8,4,0,5.1,4,0,5.2,4,0,5.3,4,0,5.5,4,1
A0,105,76,2.1,4,8,2.2,4,8,2.2,4,81,0,0,9,0,0,0,0,0,0
A0,106,40,21,2,0,22,2,0,22.9,2,0,24,4,0,25.6,2,0,28.5,2,0
A0,701,78,0,0,0,0,0,0,0,0,0,0,0,0,1.7,4,0,2.6,4,0
A0,702,78,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0,2.4,4,1
A0,779,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,4,0
A0,703,78,0,0,0,0,0,0,0,0,0,0,0,0,1.4,4,0,0,0,9
A0,704,78,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4,0,2.1,4,0
A0,705,78,0,0,0,0,0,0,0,0,0,0,0,0,1.4,4,0,0,0,9
A0,107,76,1.5,4,8,1.5,4,28,1.5,4,2,1.5,4,8,1.6,4,8,0,0,9
A0,108,66,4.2,4,8,4.6,4,8,4.8,4,8,5,4,0,5.3,4,0,5.3,4,2
A0,109,76,1.1,4,81,1.1,4,2,1.1,4,2,0,0,9,0,0,0,0,0,0
A0,110,79,2.7,4,81,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,111,66,3.7,4,8,3.8,4,8,0,0,9,0,0,0,0,0,0,0,0,0
A0,780,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4,0
A0,112,40,15.8,2,0,16.2,2,0,16.7,2,0,16.8,2,0,17.3,2,0,18.3,2,0
A0,114,79,1.6,4,81,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,781,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,4,0
A0,627,76,0,0,0,0,0,0,1,4,0,1.2,4,0,1.4,4,1,0,0,9
A0,649,78,0,0,0,0,0,0,0,0,0,1,4,0,1.9,4,0,0,0,9
A0,115,76,4.4,4,0,4.9,4,0,5.4,4,0,5.6,4,0,5.8,4,0,6.2,4,1
A0,116,79,3.9,4,1,4.3,4,0,4.7,4,0,4.8,4,0,5,4,0,5.3,4,1
A0,117,40,24.3,2,0,25.3,2,0,26.4,2,0,27.5,2,0,28.9,2,0,32,2,0
A0,118,76,2,4,8,2.1,4,8,2.1,4,8,2.2,4,0,2.4,4,0,2.7,4,0
A0,782,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0
A0,119,76,3.7,4,8,3.8,4,8,3.8,4,8,3.9,4,0,4.2,4,0,4.4,4,0
A0,120,40,17.5,2,0,18.3,2,0,19.2,2,0,20.3,2,0,21.2,2,0,23.2,2,0
A0,706,78,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4,0,1.4,4,3
A0,121,79,3.8,4,81,4,4,0,4.2,4,0,4.4,4,0,4.7,4,0,5.1,4,0
A0,122,76,2.9,4,8,3,4,8,3.2,4,0,0,0,9,0,0,0,0,0,0
A0,123,76,1.8,4,8,1.9,4,8,1.9,4,8,1.9,4,0,2.4,4,0,3.3,4,0
A0,124,79,7.6,4,0,8.1,4,8,8.7,4,0,9.2,4,0,9.6,4,1,10.9,3,0
A0,125,76,1.1,4,8,1.5,4,8,1.6,4,8,1.7,4,0,2.3,4,0,2.5,4,0
A0,126,79,4.3,4,8,4.6,4,28,5,4,28,5.2,4,0,5.8,4,0,6.4,4,0
A0,127,40,14.1,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,411,76,1.2,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,128,76,2.2,4,81,2.4,4,8,2.7,4,0,2.9,4,3,2.9,4,3,2.9,4,23
A0,783,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,4,0
A0,129,76,1.1,4,0,1.9,4,0,2.3,4,0,2.7,4,3,2.7,4,3,2.8,4,23
A0,130,79,2,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,131,29,4.8,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,132,79,4.7,4,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,628,78,0,0,0,0,0,0,1.1,4,0,0,0,9,0,0,0,0,0,0
A0,707,78,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0,0,0,9
A0,629,78,0,0,0,0,0,0,1.1,4,0,1.5,4,0,2,4,0,0,0,9
A0,556,76,0,0,0,1.1,4,8,1.3,4,0,1.3,4,2,0,0,9,0,0,0
A0,630,78,0,0,0,0,0,0,1.1,4,0,1.6,4,0,2.3,4,0,2.9,4,1
A0,708,78,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0,1.4,4,0
A0,134,76,2.3,4,81,2.3,4,8,2.3,4,2,2.3,4,2,2.4,4,12,0,0,9
A0,709,78,0,0,0,0,0,0,0,0,0,0,0,0,1.4,4,0,0,0,9
A0,710,78,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,9
A0,711,78,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4,0,0,0,9
A0,135,76,3.3,4,8,3.8,4,0,4.2,4,0,4.5,4,0,5,4,0,6.3,4,1
A0,136,29,18.3,2,0,18.5,2,0,0,0,9,0,0,0,0,0,0,0,0,0
A0,784,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0
A0,650,76,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,3,0,0,9
A0,712,78,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,9
A0,137,76,1.6,4,8,1.7,4,8,1.8,4,8,1.8,4,1,1.9,4,1,2.2,4,1
A0,138,76,1.2,4,21,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,139,79,3.7,4,81,3.8,4,2,3.8,4,2,0,0,9,0,0,0,0,0,0
A0,713,76,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0,0,0,9
A0,656,76,0,0,0,0,0,0,0,0,0,1.1,4,3,0,0,9,0,0,0
A0,140,76,1.8,4,0,2,4,8,2.2,4,8,2.4,4,0,2.9,4,0,3.7,3,0
A0,141,79,9.5,4,1,9.9,4,0,10.9,3,0,0,0,9,0,0,0,0,0,0
A0,555,32,0,0,0,1.1,4,8,1.3,4,0,1.7,4,3,2.2,4,3,0,0,9
A0,223,76,1,4,1,1.1,4,8,1.1,4,8,0,0,9,0,0,0,0,0,0
A0,714,78,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0,0,0,9
A0,715,78,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0,0,0,9
A0,143,79,3.6,4,8,3.8,4,8,4.2,4,0,4.5,4,0,4.7,4,0,5.1,4,0
A0,651,76,0,0,0,0,0,0,0,0,0,1,4,0,1.2,4,0,1.5,4,1
A0,631,78,0,0,0,0,0,0,1,4,0,1.4,4,0,1.9,4,0,0,0,9
A0,649,78,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4,31,0,0,9
A0,144,53,8.7,4,0,9.8,4,8,10.8,4,21,11.5,4,12,12.8,4,12,14.4,3,1
A0,145,79,2.4,4,8,2.5,4,8,0,0,9,0,0,0,0,0,0,0,0,0
A0,785,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,4,3
A0,146,66,19.6,2,0,20.8,2,0,23.4,2,1,23.4,2,13,23.5,3,123,0,0,9
A0,147,40,8.1,4,0,8.2,4,0,0,0,9,0,0,0,0,0,0,0,0,0
A0,148,76,1.5,4,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
